	index	text	correct	hypothesis	correct.1	label1	label2	gold_label
47	63	Wolf-like dog is not chasing white wiffle ball through a green field.	1.0	A dog does not chase the ball its owner threw.	1.0	neutral	neutral	neutral
48	65	A child is not thrown in the air on the beach.		The child is watching TV.		neutral	neutral	neutral
49	66	A child is thrown in the air on the beach.		The child is not watching TV.		entailment	entailment	entailment
50	67	A child is not thrown in the air on the beach.	1.0	The child is not watching TV.	1.0	neutral	neutral	neutral
51	69	Two men in orange jumpsuits are not walking down a cobbled road.		The men are kneeling in prayer in the church, wearing their Easter suits.		neutral	neutral	neutral
52	70	Two men in orange jumpsuits are walking down a cobbled road.		The men are not kneeling in prayer in the church, wearing their Easter suits.		entailment	entailment	entailment
53	71	Two men in orange jumpsuits are not walking down a cobbled road.	1.0	The men are not kneeling in prayer in the church, wearing their Easter suits.	1.0	neutral	neutral	neutral
54	73	kids are not playing at a playground on a stack of tires		The kids are outside.		neutral	neutral	neutral
55	74	kids playing at a playground on a stack of tires		The kids are not outside.		contradiction	contradiction	contradiction
56	75	kids are not playing at a playground on a stack of tires	1.0	The kids are not outside.	1.0	neutral	neutral	neutral
57	77	The young girl in blue is not having fun on a slide.		A young female is having fun at the park.		neutral	neutral	neutral
58	78	The young girl in blue is having fun on a slide.		A young female is not having fun at the park.		neutral	neutral	neutral
59	79	The young girl in blue is not having fun on a slide.	1.0	A young female is not having fun at the park.	1.0	neutral	neutral	neutral
60	81	A wet black dog is not running away from another black dog.		The dog is getting a bath.		neutral	neutral	neutral
61	82	A wet black dog is running away from another black dog.		The dog is not getting a bath.		neutral	entailment	neutral
62	83	A wet black dog is not running away from another black dog.	1.0	The dog is not getting a bath.	1.0	neutral	neutral	neutral
63	85	Three guys are not riding on an elephant with a house-like structures and trees in the background.		The elephants have been tame for many years.		neutral	neutral	neutral
64	86	Three guys riding on an elephant with a house-like structures and trees in the background.		The elephants have not been tame for many years.		neutral	neutral	neutral
65	87	Three guys are not riding on an elephant with a house-like structures and trees in the background.	1.0	The elephants have not been tame for many years.	1.0	neutral	neutral	neutral
66	89	A man with a braided bandanna does not stand behind a drum set.		Man standing behind drum set		contradiction	contradiction	contradiction
67	90	A man with a braided bandanna stands behind a drum set.		Man not standing behind drum set		contradiction	contradiction	contradiction
68	91	A man with a braided bandanna does not stand behind a drum set.	1.0	Man not standing behind drum set	1.0	entailment	entailment	entailment
69	93	In a football match, a Panthers player does not fall forward into a somersault while gripping the football.		A man is cutting the grass.		neutral	neutral	neutral
70	94	In a football match, a Panthers player falls forward into a somersault while gripping the football.		A man is not cutting the grass.		entailment	entailment	entailment
71	95	In a football match, a Panthers player does not fall forward into a somersault while gripping the football.	1.0	A man is not cutting the grass.	1.0	entailment	entailment	entailment
72	97	A man with a red and gold costume is not standing in a street smoking a cigarette.		A man is inside on a tredmil.		neutral	neutral	neutral
73	98	A man with a red and gold costume is standing in a street smoking a cigarette.		A man is not inside on a tredmil.		entailment	entailment	entailment
74	99	A man with a red and gold costume is not standing in a street smoking a cigarette.	1.0	A man is not inside on a tredmil.	1.0	neutral	neutral	neutral
75	101	People are not gathering for some event in the city.		The people are all in their separate homes.		neutral	entailment	neutral
76	102	People are gathering for some event in the city.		The people are not all in their separate homes.		entailment	entailment	entailment
77	103	People are not gathering for some event in the city.	1.0	The people are not all in their separate homes.	1.0	neutral	neutral	neutral
78	105	A man in camouflage on the beach does not look through a telescope at night.		A man in camouflage on the beach looks through a telescope at night on a full moon and during a meteor shower.		contradiction	contradiction	contradiction
79	106	A man in camouflage on the beach looks through a telescope at night.		A man in camouflage on the beach does not look through a telescope at night on a full moon and during a meteor shower.		contradiction	contradiction	contradiction
80	107	A man in camouflage on the beach does not look through a telescope at night.	1.0	A man in camouflage on the beach does not look through a telescope at night on a full moon and during a meteor shower.	1.0	neutral	entailment	neutral
81	109	Two men and a woman are not walking down a city street.		Three people walking to work.		neutral	contradiction	neutral
82	110	Two men and a woman are walking down a city street.		Three people are not walking to work.		contradiction	contradiction	contradiction
83	111	Two men and a woman are not walking down a city street.	1.0	Three people are not walking to work.	1.0	neutral	neutral	neutral
84	113	Stretched image of a brown dog with a white patch of fur in his chest area is not sitting in the grass with trees in the background.		A dog sitting in front of a forest.		neutral	neutral	neutral
85	114	Stretched image of a brown dog with a white patch of fur in his chest area sitting in the grass with trees in the background.		A dog not sitting in front of a forest.		neutral	neutral	neutral
86	115	Stretched image of a brown dog with a white patch of fur in his chest area is not sitting in the grass with trees in the background.	1.0	A dog not sitting in front of a forest.	1.0	neutral	entailment	neutral
87	117	Two girls are not playing in a game of softball.		A pitcher throws a ball at a batter.		neutral	neutral	neutral
88	118	Two girls playing in a game of softball.		A pitcher does not throw a ball at a batter.		neutral	neutral	neutral
89	119	Two girls are not playing in a game of softball.	1.0	A pitcher does not throw a ball at a batter.	1.0	neutral	neutral	neutral
90	121	A bicycler is not jumping over a barrier with his bike.		A cyclist dodges the blockage on his way to work.		neutral	neutral	neutral
91	122	A bicycler jumping over a barrier with his bike.		A cyclist does not dodge the blockage on his way to work.		neutral	neutral	neutral
92	123	A bicycler is not jumping over a barrier with his bike.	1.0	A cyclist does not dodge the blockage on his way to work.	1.0	neutral	neutral	neutral
93	125	Many young men with backpacks are not clinging to and riding on a vehicle.		the men are all going to the same place		neutral	neutral	neutral
94	126	Many young men with backpacks are clinging to and riding on a vehicle.		the men are not all going to the same place		neutral	neutral	neutral
95	127	Many young men with backpacks are not clinging to and riding on a vehicle.	1.0	the men are not all going to the same place	1.0	neutral	neutral	neutral
96	129	An old man and a young man do not hold on to a red railing.		Two men hold a railing.		contradiction	contradiction	contradiction
97	130	An old man and a young man hold on to a red railing.		Two men do not hold a railing.		contradiction	contradiction	contradiction
98	131	An old man and a young man do not hold on to a red railing.	1.0	Two men do not hold a railing.	1.0	entailment	entailment	entailment
99	133	A man does not ride a very small bicycle in a small town fair.		A woman is riding the bicycle.		neutral	neutral	neutral
100	134	A man rides a very small bicycle in a small town fair.		A woman is not riding the bicycle.		neutral	neutral	neutral
101	135	A man does not ride a very small bicycle in a small town fair.	1.0	A woman is not riding the bicycle.	1.0	neutral	neutral	neutral
102	137	A man with a red umbrella does not seem to be messing with a tire while a baby and mother look on.		A man is trying to fix a tire.		neutral	contradiction	neutral
103	138	A man with a red umbrella seems to be messing with a tire while a baby and mother look on.		A man is not trying to fix a tire.		contradiction	contradiction	contradiction
104	139	A man with a red umbrella does not seem to be messing with a tire while a baby and mother look on.	1.0	A man is not trying to fix a tire.	1.0	neutral	entailment	neutral
105	141	A man dressed in red, on a red riding lawn mower decorated with an American flag, is not holding a little girl on his lap.		The man was teaching his daughter how to mow the lawn		neutral	neutral	neutral
106	142	A man dressed in red, on a red riding lawn mower decorated with an American flag, is holding a little girl on his lap.		The man was not teaching his daughter how to mow the lawn		neutral	neutral	neutral
107	143	A man dressed in red, on a red riding lawn mower decorated with an American flag, is not holding a little girl on his lap.	1.0	The man was not teaching his daughter how to mow the lawn	1.0	neutral	neutral	neutral
108	145	A technician in an orange vest and a hard hat does not remove cables from a work truck.		A person prepares to install cable.		neutral	neutral	neutral
109	146	A technician in an orange vest and a hard hat removes cables from a work truck.		A person does not prepare to install cable.		neutral	neutral	neutral
110	147	A technician in an orange vest and a hard hat does not remove cables from a work truck.	1.0	A person does not prepare to install cable.	1.0	neutral	neutral	neutral
111	149	Six people are not sitting on a street side bench in front of a busy restaurant with covered outdoor seating.		People are near a business that serves food.		neutral	contradiction	neutral
112	150	Six people sitting on a street side bench in front of a busy restaurant with covered outdoor seating.		People are not near a business that serves food.		contradiction	contradiction	contradiction
113	151	Six people are not sitting on a street side bench in front of a busy restaurant with covered outdoor seating.	1.0	People are not near a business that serves food.	1.0	neutral	entailment	neutral
114	153	The tennis player does not get ready to hit the ball that is almost at him.		The baseball player gets ready to hit the ball.		neutral	neutral	neutral
115	154	The tennis player gets ready to hit the ball that is almost at him.		The baseball player does not get ready to hit the ball.		neutral	neutral	neutral
116	155	The tennis player does not get ready to hit the ball that is almost at him.	1.0	The baseball player does not get ready to hit the ball.	1.0	neutral	neutral	neutral
117	157	a man not surfing in the ocean on a sunny day.		A woman surfing in the ocean on a sunny day.		neutral	neutral	neutral
118	158	a man surfing in the ocean on a sunny day.		A woman not surfing in the ocean on a sunny day.		neutral	neutral	neutral
119	159	a man not surfing in the ocean on a sunny day.	1.0	A woman not surfing in the ocean on a sunny day.	1.0	neutral	neutral	neutral
120	161	Protesters carrying a red banner are not on the street as photographers take pictures.		Protesters carrying a red banner walking across a crowded street as photographers snap pictures outside.		contradiction	contradiction	contradiction
121	162	Protesters carrying a red banner are on the street as photographers take pictures.		Protesters carrying a red banner is not walking across a crowded street as photographers snap pictures outside.		contradiction	contradiction	contradiction
122	163	Protesters carrying a red banner are not on the street as photographers take pictures.	1.0	Protesters carrying a red banner is not walking across a crowded street as photographers snap pictures outside.	1.0	entailment	entailment	entailment
123	165	A small child does not look at footprints on the beach.		The child is on the moon.		neutral	neutral	neutral
124	166	A small child looks at footprints on the beach.		The child is not on the moon.		entailment	entailment	entailment
125	167	A small child does not look at footprints on the beach.	1.0	The child is not on the moon.	1.0	neutral	neutral	neutral
126	169	A woman next to a subway entrance in a tan coat is not asking a woman in a pink coat directions.		A woman sits on the subway quietly.		neutral	neutral	neutral
127	170	A woman next to a subway entrance in a tan coat is asking a woman in a pink coat directions.		A woman does not sit on the subway quietly.		entailment	entailment	entailment
128	171	A woman next to a subway entrance in a tan coat is not asking a woman in a pink coat directions.	1.0	A woman does not sit on the subway quietly.	1.0	neutral	neutral	neutral
129	173	a man does not get ready to hit the tennis ball.		A man is playing tennis.		contradiction	contradiction	contradiction
130	174	a man gets ready to hit the tennis ball.		A man is not playing tennis.		contradiction	contradiction	contradiction
131	175	a man does not get ready to hit the tennis ball.	1.0	A man is not playing tennis.	1.0	contradiction	entailment	entailment
132	177	A man does not hold a woman as another couple walk up the steps towards them.		A couple is arguing		neutral	neutral	neutral
133	178	A man holds a woman as another couple walk up the steps towards them.		A couple is not arguing		entailment	entailment	entailment
134	179	A man does not hold a woman as another couple walk up the steps towards them.	1.0	A couple is not arguing	1.0	neutral	neutral	neutral
135	181	Seven people do not sit at table in metal fold-up chairs discuss topic.		People are running a race.		neutral	neutral	neutral
136	182	Seven people sit at table in metal fold-up chairs discuss topic.		People are not running a race.		entailment	entailment	entailment
137	183	Seven people do not sit at table in metal fold-up chairs discuss topic.	1.0	People are not running a race.	1.0	neutral	neutral	neutral
138	185	A girl in black hat is not holding an african american baby.		A woman is folding clothes.		neutral	neutral	neutral
139	186	A girl in black hat holding an african american baby.		A woman is not folding clothes.		entailment	entailment	entailment
140	187	A girl in black hat is not holding an african american baby.	1.0	A woman is not folding clothes.	1.0	neutral	neutral	neutral
141	189	Two race cars do not speed along a track with smoke coming from the backs of them.		Two sedans are parked.		neutral	neutral	neutral
142	190	Two race cars speed along a track with smoke coming from the backs of them.		Two sedans are not parked.		entailment	entailment	entailment
143	191	Two race cars do not speed along a track with smoke coming from the backs of them.	1.0	Two sedans are not parked.	1.0	neutral	neutral	neutral
144	193	Two boys are not playing in the shadows of the trees.		Two brothers are playing in a forest		neutral	neutral	neutral
145	194	Two boys playing in the shadows of the trees.		Two brothers are not playing in a forest		neutral	neutral	neutral
146	195	Two boys are not playing in the shadows of the trees.	1.0	Two brothers are not playing in a forest	1.0	neutral	neutral	neutral
147	197	A boy in a blue shirt is not next to a body of water with an older man.		A boy and a man are fishing.		neutral	neutral	neutral
148	198	A boy in a blue shirt next to a body of water with an older man.		A boy and a man are not fishing.		neutral	neutral	neutral
149	199	A boy in a blue shirt is not next to a body of water with an older man.	1.0	A boy and a man are not fishing.	1.0	neutral	neutral	neutral
150	201	A person in red is not leaping from a ledge trying to touch the suspended red ball.		Someone is trying to play dodgeball.		neutral	neutral	neutral
151	202	A person in red leaping from a ledge trying to touch the suspended red ball.		Someone is not trying to play dodgeball.		neutral	neutral	neutral
152	203	A person in red is not leaping from a ledge trying to touch the suspended red ball.	1.0	Someone is not trying to play dodgeball.	1.0	neutral	neutral	neutral
153	205	A kettle korn vendor does not look into the distance at a fair.		A vendor burns all his kettle korn.		neutral	neutral	neutral
154	206	A kettle korn vendor looks into the distance at a fair.		A vendor does not burn all his kettle korn.		neutral	entailment	neutral
155	207	A kettle korn vendor does not look into the distance at a fair.	1.0	A vendor does not burn all his kettle korn.	1.0	neutral	neutral	neutral
156	209	Crowds do not gather in Times Square under red and white confetti.		Crowds gather in a pool.		neutral	neutral	neutral
157	210	Crowds gather in Times Square under red and white confetti.		Crowds do not gather in a pool.		entailment	entailment	entailment
158	211	Crowds do not gather in Times Square under red and white confetti.	1.0	Crowds do not gather in a pool.	1.0	neutral	neutral	neutral
159	213	A man in an orange vest is not trying to pull a vehicle which is attached to another vehicle out of a rocky area.		The man is driving a vehicle.		neutral	neutral	neutral
160	214	A man in an orange vest trying to pull a vehicle which is attached to another vehicle out of a rocky area.		The man is not driving a vehicle.		entailment	entailment	entailment
161	215	A man in an orange vest is not trying to pull a vehicle which is attached to another vehicle out of a rocky area.	1.0	The man is not driving a vehicle.	1.0	neutral	neutral	neutral
162	217	A black dog with a red collar does not stand outside with his paws in water.		The dog chases the cat.		neutral	neutral	neutral
163	218	A black dog with a red collar stands outside with his paws in water.		The dog does not chase the cat.		entailment	entailment	entailment
164	219	A black dog with a red collar does not stand outside with his paws in water.	1.0	The dog does not chase the cat.	1.0	neutral	neutral	neutral
165	221	Four college-aged individuals- two males and two females- are not sitting on the concrete steps outside of a brick building		Two couples are sitting on concrete stairs outside.		contradiction	contradiction	contradiction
166	222	Four college-aged individuals- two males and two females- sitting on the concrete steps outside of a brick building		Two couples are not sitting on concrete stairs outside.		contradiction	contradiction	contradiction
167	223	Four college-aged individuals- two males and two females- are not sitting on the concrete steps outside of a brick building	1.0	Two couples are not sitting on concrete stairs outside.	1.0	entailment	entailment	entailment
168	225	Three males are not sitting on a sofa with beers on a table in front of them.		three men are sitting		neutral	neutral	neutral
169	226	Three males are sitting on a sofa with beers on a table in front of them.		three men are not sitting		contradiction	contradiction	contradiction
170	227	Three males are not sitting on a sofa with beers on a table in front of them.	1.0	three men are not sitting	1.0	neutral	neutral	neutral
171	229	A group of men are not working on landscaping under a McDonalds sign.		A group of people are near a sign.		neutral	neutral	neutral
172	230	A group of men are working on landscaping under a McDonalds sign.		A group of people are not near a sign.		contradiction	contradiction	contradiction
173	231	A group of men are not working on landscaping under a McDonalds sign.	1.0	A group of people are not near a sign.	1.0	neutral	neutral	neutral
174	233	"An Asian man wearing a body-fitting black, long-sleeved top and gold& black spandex riding shorts imprinted with ""Malaysia"" on the back and sides is not riding a stationary Mavic brand competition bicycle in a large venue that appears to be a convention for health and sports products."		An Asian man joyously wearing a body-fitting black, long-sleeved top		neutral	entailment	neutral
175	234	"An Asian man wearing a body-fitting black, long-sleeved top and gold& black spandex riding shorts imprinted with ""Malaysia"" on the back and sides is riding a stationary Mavic brand competition bicycle in a large venue that appears to be a convention for health and sports products."		An Asian man joyously not wearing a body-fitting black, long-sleeved top		contradiction	contradiction	contradiction
176	235	"An Asian man wearing a body-fitting black, long-sleeved top and gold& black spandex riding shorts imprinted with ""Malaysia"" on the back and sides is not riding a stationary Mavic brand competition bicycle in a large venue that appears to be a convention for health and sports products."	1.0	An Asian man joyously not wearing a body-fitting black, long-sleeved top	1.0	contradiction	entailment	contradiction
177	237	Man is not running across street on a rainy day.		A human running.		contradiction	contradiction	contradiction
178	238	Man running across street on a rainy day.		A human is not running.		contradiction	contradiction	contradiction
179	239	Man is not running across street on a rainy day.	1.0	A human is not running.	1.0	entailment	entailment	entailment
180	241	Man with his hat on backwards not wearing an orange suit with his hand on a spindle with large rope.		A man carries a spindle		entailment	entailment	entailment
181	242	Man with his hat on backwards wearing an orange suit with his hand on a spindle with large rope.		A man does not carry a spindle		contradiction	contradiction	contradiction
182	243	Man with his hat on backwards not wearing an orange suit with his hand on a spindle with large rope.	1.0	A man does not carry a spindle	1.0	contradiction	contradiction	contradiction
183	245	A golfer is not teeing off the green.		The golfer is on the green.		contradiction	contradiction	contradiction
184	246	A golfer is teeing off the green.		The golfer is not on the green.		contradiction	contradiction	contradiction
185	247	A golfer is not teeing off the green.	1.0	The golfer is not on the green.	1.0	entailment	entailment	entailment
186	249	Two young girls in skeleton costumes are not attached to a leash.		The girls are wearing bathing suits and swimming in a pool.		contradiction	contradiction	contradiction
187	250	Two young girls in skeleton costumes attached to a leash.		The girls are not wearing bathing suits and swimming in a pool.		neutral	entailment	neutral
188	251	Two young girls in skeleton costumes are not attached to a leash.	1.0	The girls are not wearing bathing suits and swimming in a pool.	1.0	neutral	neutral	neutral
189	253	A baseball player is not sliding in to home plate while the catcher tries to tag him and the umpire and batter watch.		the player is a hero		neutral	neutral	neutral
190	254	A baseball player is sliding in to home plate while the catcher tries to tag him and the umpire and batter watch.		the player is not a hero		neutral	neutral	neutral
191	255	A baseball player is not sliding in to home plate while the catcher tries to tag him and the umpire and batter watch.	1.0	the player is not a hero	1.0	neutral	neutral	neutral
192	257	A topless woman wearing sunglasses is not  reading a book on a towel.		An attractive woman reads a romance novel.		neutral	neutral	neutral
193	258	A topless woman wearing sunglasses reading a book on a towel.		An attractive woman does not read a romance novel.		neutral	neutral	neutral
194	259	A topless woman wearing sunglasses is not  reading a book on a towel.	1.0	An attractive woman does not read a romance novel.	1.0	neutral	entailment	neutral
195	261	People are not crossing the street in a city.		It is a sunny day.		neutral	neutral	neutral
196	262	People crossing the street in a city.		It is not a sunny day.		neutral	neutral	neutral
197	263	People are not crossing the street in a city.	1.0	It is not a sunny day.	1.0	neutral	neutral	neutral
198	265	A little girl is not laughing while going down a slide.		A woman laughing while going down.		contradiction	contradiction	contradiction
199	266	A little girl laughing while going down a slide.		A woman not laughing while going down.		contradiction	contradiction	contradiction
200	267	A little girl is not laughing while going down a slide.	1.0	A woman not laughing while going down.	1.0	neutral	neutral	neutral
201	269	Man in business attire with Guy Fawkes mask is not holding paper at protest.		The man's face is covered		entailment	entailment	entailment
202	270	Man in business attire with Guy Fawkes mask holding paper at protest.		The man's face is not covered		contradiction	contradiction	contradiction
203	271	Man in business attire with Guy Fawkes mask is not holding paper at protest.	1.0	The man's face is not covered	1.0	contradiction	contradiction	contradiction
204	273	A woman does not walk across a grassy area, away from the camera, with a small boy in her arms looking backward.		The woman is the boy's mother, and is carrying him to the car.		neutral	neutral	neutral
205	274	A woman walks across a grassy area, away from the camera, with a small boy in her arms looking backward.		The woman is not the boy's mother, and is carrying him to the car.		neutral	neutral	neutral
206	275	A woman does not walk across a grassy area, away from the camera, with a small boy in her arms looking backward.	1.0	The woman is not the boy's mother, and is carrying him to the car.	1.0	neutral	neutral	neutral
207	277	The football players do not wear purple pants, gold helmets and white jerseys.		The football players are wearing something.		neutral	neutral	neutral
208	278	The football players wear purple pants, gold helmets and white jerseys.		The football players are not wearing something.		contradiction	contradiction	contradiction
209	279	The football players do not wear purple pants, gold helmets and white jerseys.	1.0	The football players are not wearing something.	1.0	neutral	neutral	neutral
210	281	Little girl is not looking through a camera.		The girl is throwing the camera.		neutral	entailment	neutral
211	282	Little girl looking through a camera.		The girl is not throwing the camera.		entailment	entailment	entailment
212	283	Little girl is not looking through a camera.	1.0	The girl is not throwing the camera.	1.0	neutral	neutral	neutral
213	285	A man not driving a four-wheeler off-road.		A man riding through mud.		neutral	neutral	neutral
214	286	A man driving a four-wheeler off-road.		A man not riding through mud.		neutral	neutral	neutral
215	287	A man not driving a four-wheeler off-road.	1.0	A man not riding through mud.	1.0	neutral	neutral	neutral
216	289	A black and white dog does not swim and play with tennis balls in the pool.		There is a dog in a pool.		contradiction	contradiction	contradiction
217	290	A black and white dog swims and plays with tennis balls in the pool.		There is not a dog in a pool.		contradiction	contradiction	contradiction
218	291	A black and white dog does not swim and play with tennis balls in the pool.	1.0	There is not a dog in a pool.	1.0	entailment	entailment	entailment
219	293	Several different people do not sit underneath umbrellas, talking and drinking.		People attending  a concert  sitting under a tent and getting wasted.		neutral	neutral	neutral
220	294	Several different people sit underneath umbrellas, talking and drinking.		People not attending  a concert  sitting under a tent and getting wasted.		neutral	neutral	neutral
221	295	Several different people do not sit underneath umbrellas, talking and drinking.	1.0	People not attending  a concert  sitting under a tent and getting wasted.	1.0	neutral	neutral	neutral
222	297	The employee wearing a red apron is not reaching into the deli cooler.		The person in the red apron is running a marathon.		neutral	neutral	neutral
223	298	The employee wearing a red apron is reaching into the deli cooler.		The person in the red apron is not running a marathon.		entailment	entailment	entailment
224	299	The employee wearing a red apron is not reaching into the deli cooler.	1.0	The person in the red apron is not running a marathon.	1.0	neutral	neutral	neutral
225	301	A pair of glasses is not in the road.		There is a pair of glasses.		neutral	neutral	neutral
226	302	A pair of glasses is in the road.		There is not a pair of glasses.		contradiction	contradiction	contradiction
227	303	A pair of glasses is not in the road.	1.0	There is not a pair of glasses.	1.0	contradiction	entailment	contradiction
228	305	An instructor is not giving a presentation on a projector.		The instructor is writing on a chalkboard		neutral	entailment	neutral
229	306	An instructor is giving a presentation on a projector.		The instructor is not writing on a chalkboard		entailment	entailment	entailment
230	307	An instructor is not giving a presentation on a projector.	1.0	The instructor is not writing on a chalkboard	1.0	neutral	neutral	neutral
231	309	A man in a suit carrying a briefcase does not walk on a sidewalk, near a puddle reflecting the image of a building.		The man is carrying a briefcase outdoors.		entailment	contradiction	entailment
232	310	A man in a suit carrying a briefcase walks on a sidewalk, near a puddle reflecting the image of a building.		The man is not carrying a briefcase outdoors.		contradiction	contradiction	contradiction
233	311	A man in a suit carrying a briefcase does not walk on a sidewalk, near a puddle reflecting the image of a building.	1.0	The man is not carrying a briefcase outdoors.	1.0	neutral	neutral	neutral
234	313	Asian students wearing uniforms do not collect around a Star Wars icon.		Students are gathered around a Star Wars related sign.		contradiction	contradiction	contradiction
235	314	Asian students wearing uniforms collect around a Star Wars icon.		Students are not gathered around a Star Wars related sign.		contradiction	contradiction	contradiction
236	315	Asian students wearing uniforms do not collect around a Star Wars icon.	1.0	Students are not gathered around a Star Wars related sign.	1.0	entailment	entailment	entailment
