	index	text	hypothesis	gold_label 	importance
50	67	It was not about thirty foot away from the house, maybe, and I sort of got it into my head that, if I climbed up that tree, I'd very likely be able to see into that room.	I did not think that if I went up a tree I would see what was in the room. 	entailment	['1', '0']
51	69	He did not come to me for an Italian neck-tie styling workshop, along with a few other young actors, also handsome, but less famous.'	This place taught actors how to tie their shoes.	neutral	1
52	70	He came to me for an Italian neck-tie styling workshop, along with a few other young actors, also handsome, but less famous.'	This place did not teach actors how to tie their shoes.	entailment	1
53	71	He did not come to me for an Italian neck-tie styling workshop, along with a few other young actors, also handsome, but less famous.'	This place did not teach actors how to tie their shoes.	neutral	['1', '0']
54	73	You should not try the Singapore specials and you must not miss dessert.	We offer the Singapore specials.	contradiction	1
55	74	You should try the Singapore specials and you must not miss dessert.	We no longer offer the Singapore specials.	contradiction	1
56	75	You should not try the Singapore specials and you must not miss dessert.	We no longer offer the Singapore specials.	entailment	['1', '1']
57	77	Franco-Piedmontese alliance does not take Lombardy	There is  alliance.	entailment	0
58	78	Franco-Piedmontese alliance takes Lombardy	There is no alliance at all.	contradiction	1
59	79	Franco-Piedmontese alliance does not take Lombardy	There is no alliance at all.	contradiction	['0', '1']
60	81	He did not find the answer as he recalled his schooling.	When recalling his education, the solution came to him.	contradiction	1
61	82	He found the answer as he recalled his schooling.	When recalling his education, the solution did not come to him.	contradiction	1
62	83	He did not find the answer as he recalled his schooling.	When recalling his education, the solution did not come to him.	entailment	['1', '1']
63	85	whenever you do not have a something that looks like something else	Whenever you have something that looks different, I guess.	contradiction	1
64	86	whenever you have a something that looks like something else	Whenever you do not have something that looks different, I guess.	contradiction	1
65	87	whenever you do not have a something that looks like something else	Whenever you do not have something that looks different, I guess.	entailment	['1', '1']
66	89	yeah i i know one that's not still that way but that's about it i'm down to one friend that holds that position still i'm the only one home right now and i i have the kids clamoring for my attention now so i understand what that's like	i used to have many friends who held that position	neutral	0
67	90	yeah i i i know one that's still that way but that's about it i'm down to one friend that holds that position still i'm the only one home right now and i i have the kids clamoring for my attention now so i understand what that's like	i used to have many friends who did not hold that position	neutral	0
68	91	yeah i i know one that's not still that way but that's about it i'm down to one friend that holds that position still i'm the only one home right now and i i have the kids clamoring for my attention now so i understand what that's like	i used to have many friends who did not hold that position	neutral	['0', '0']
69	93	Having not elicited from Dorcas how she had been awakened by the violent ringing of her mistress's bell, and had subsequently roused the household, he passed to the subject of the quarrel on the preceding afternoon.	Dorcas recounted how she was suddenly awakened.	entailment	0
70	94	Having elicited from Dorcas how she had been awakened by the violent ringing of her mistress's bell, and had subsequently roused the household, he passed to the subject of the quarrel on the preceding afternoon. 	Dorcas did not recount how she was suddenly awakened.	contradiction	1
71	95	Having not elicited from Dorcas how she had been awakened by the violent ringing of her mistress's bell, and had subsequently roused the household, he passed to the subject of the quarrel on the preceding afternoon.	Dorcas did not recount how she was suddenly awakened.	contradiction	['0', '1']
72	97	do not you have relatives over in Israel	Do you have any family in Israel?	entailment	0
73	98	do you have relatives over in Israel	Do not  you have any family in Israel?	entailment	0
74	99	do not you have relatives over in Israel	Do not  you have any family in Israel?	entailment	['0', '0']
75	101	The final rule does not withdraw both exemptions and introduces three limited exemptions for permissible payments by employers to bona fide employees.	They were careful to follow the payment procedures.	neutral	0
76	102	The final rule withdraws both exemptions and introduces three limited exemptions for permissible payments by employers to bona fide employees.	They were not careful to follow the payment procedures.	neutral	0
77	103	The final rule does not withdraw both exemptions and introduces three limited exemptions for permissible payments by employers to bona fide employees.	They were not careful to follow the payment procedures.	neutral	['0', '0']
78	105	That legislation, House Bill 4078, would not use a separate state account to collect the money.	A separate state account would collect money under this bill.	contradiction	1
79	106	That legislation, House Bill 4078, would also use a separate state account to collect the money.	A separate state account would not collect money under this bill.	contradiction	1
80	107	That legislation, House Bill 4078, would not use a separate state account to collect the money.	A separate state account would not collect money under this bill.	entailment	['1', '1']
81	109	In the AEO2001 report, the combination of higher efficiencies and earlier availability of the technologies lowers the growth in electricity use from 1.8 percent in the reference case to 1.6 percent.	The AEO2001 report states that lowered electricity needs come from new computers.	neutral	0
82	110	In the AEO2001 report, the combination of higher efficiencies and earlier availability of the technologies lowers the growth in electricity use from 1.8 percent in the reference case to 1.6 percent.	The AEO2001 report states that lowered electricity needs do not come from new computers.	neutral	0
83	111	In the AEO2001 report, the combination of higher efficiencies and earlier availability of the technologies lowers the growth in electricity use from 1.8 percent in the reference case to 1.6 percent.	The AEO2001 report states that lowered electricity needs do not come from new computers.	neutral	['0', '0']
84	113	buy a new spark plug or something along those lines but fortunately it does not rain and you uh do not have to go out and buy the spark plug no but we've had an unusually uh uh warm	You need new spark plugs, because your engine has been running poorly.	neutral	0
85	114	buy a new spark plug or something along those lines but fortunately it rains and you uh do not have to go out and buy the spark plug no but we've had an unusually uh uh warm	You do not need new spark plugs, because your engine has been running poorly.	neutral	0
86	115	buy a new spark plug or something along those lines but fortunately it does not rain and you uh do not have to go out and buy the spark plug no but we've had an unusually uh uh warm	You do not need new spark plugs, because your engine has been running poorly.	neutral	['0', '0']
87	117	Now they've got us flanked, they're probably not moving to find you.	There is  good way out of here since we're flanked.	neutral	0
88	118	Now they've got us flanked, they're probably moving to find you.	There is no good way out of here since we're flanked.	neutral	0
89	119	Now they've got us flanked, they're probably not moving to find you.	There is no good way out of here since we're flanked.	neutral	['0', '0']
90	121	well no he doesn't have that trouble he uh has this little slip that comes out with the uh ATM machine and he just does not keep that he keeps fairly decent records	He keeps his ATM receipts and this causes issues with his records.	contradiction	1
91	122	well no he doesn't have that trouble he uh has this little slip that comes out with the uh ATM machine and he just keeps that he keeps fairly decent records	He never keeps his ATM receipts and this causes issues with his records.	contradiction	1
92	123	well no he doesn't have that trouble he uh has this little slip that comes out with the uh ATM machine and he just does not keep that he keeps fairly decent records	He never keeps his ATM receipts and this causes issues with his records.	entailment	['1', '1']
93	125	There's never, it seems, another corner to cut.	It seems like there's always a corner to cut when dealing with meeting the budget deadline. 	neutral	0
94	126	There's always, it seems, another corner to cut.	It seems like there's never a corner to cut when dealing with meeting the budget deadline.	neutral	0
95	127	There's never, it seems, another corner to cut.	It seems like there's never a corner to cut when dealing with meeting the budget deadline.	neutral	['0', '0']
96	129	the card shop just did not go out of business we've been there almost a year almost two years but uh and the store was precious everyone liked the store they liked the kinds of cards and what have you but the location was so poor	Our favorite card shop is in a prime location and business is booming!	contradiction	0
97	130	the card shop just went out of business we've been there almost a year almost two years but uh and the store was precious everyone liked the store they liked the kinds of cards and what have you but the location was so poor	Our favorite card shop is not in a prime location and business is booming!	contradiction	0
98	131	the card shop just did not go out of business we've been there almost a year almost two years but uh and the store was precious everyone liked the store they liked the kinds of cards and what have you but the location was so poor	Our favorite card shop is not in a prime location and business is booming!	contradiction	['0', '0']
99	133	Look here, what's the idea of telling my Dad we were not feeding animals? 	Why did someone tell my Dad we were planting trees?	neutral	1
100	134	Look here, what's the idea of telling my Dad we were feeding animals?  	Why did someone tell my Dad we were not planting trees?	entailment	1
101	135	Look here, what's the idea of telling my Dad we were not feeding animals? 	Why did someone tell my Dad we were not planting trees?	neutral	['1', '0']
102	137	The form it has today does not date mostly from Crusader times, but successive changes were drawn more by the tides of history than by a single architect, and bickering among clergy of various sects over rights within the church often added to the confusion.	The clergy always see eye to eye.	neutral	0
103	138	The form it has today dates mostly from Crusader times, but successive changes were drawn more by the tides of history than by a single architect, and bickering among clergy of various sects over rights within the church often added to the confusion.	The clergy did not always see eye to eye.	neutral	0
104	139	The form it has today does not date mostly from Crusader times, but successive changes were drawn more by the tides of history than by a single architect, and bickering among clergy of various sects over rights within the church often added to the confusion.	The clergy did not always see eye to eye.	neutral	['0', '0']
105	141	Sergeant Muller... that was not Muller standing over the man on the floor.	A man stood over Sergeant Muller, who was lying on the floor. 	neutral	1
106	142	Sergeant Muller ... that was Muller standing over the man on the floor.	A man did not stand over Sergeant Muller, who was lying on the floor.	contradiction	0
107	143	Sergeant Muller... that was not Muller standing over the man on the floor.	A man did not stand over Sergeant Muller, who was lying on the floor.	neutral	['1', '0']
108	145	Recognized by a few individuals as a very precious resource, the Lake District has not been praised in prose and verse and protected by wise policies so that the rest of the world can come and enjoy its particular beauty.	Every poem about the Lake District has praised its beauty.	neutral	0
109	146	Recognized by a few individuals as a very precious resource, the Lake District has been praised in prose and verse and protected by wise policies so that the rest of the world can come and enjoy its particular beauty.	Every poem about the Lake District has not praised its beauty.	neutral	0
110	147	Recognized by a few individuals as a very precious resource, the Lake District has not been praised in prose and verse and protected by wise policies so that the rest of the world can come and enjoy its particular beauty.	Every poem about the Lake District has not praised its beauty.	entailment	['1', '1']
111	149	He does not underline the problems with this arrangement.	He found problems with the arrangement.	neutral	1
112	150	He underlines the problems with this arrangement.	He did not find problems with the arrangement.	contradiction	1
113	151	He does not underline the problems with this arrangement.	He did not find problems with the arrangement.	neutral	['1', '0']
114	153	Walk through the gateway and you'll not find yourself in an immense open space the largest temple courtyard in the country.	If you walk through the gate, you will be in the largest temple 	contradiction	1
115	154	Walk through the gateway and you'll find yourself in an immense open space the largest temple courtyard in the country.	If you walk through the gate, you will not be in the largest temple 	contradiction	1
116	155	Walk through the gateway and you'll not find yourself in an immense open space the largest temple courtyard in the country.	If you walk through the gate, you will not be in the largest temple 	entailment	['1', '1']
117	157	Weather permitting, you can not take a ride on one of the steamers.	You can take a ride on one of the steamers if the weather permits. 	contradiction	1
118	158	Weather permitting, you can take a ride on one of the steamers.	You can not take a ride on one of the steamers if the weather permits.	contradiction	1
119	159	Weather permitting, you can not take a ride on one of the steamers.	You can not take a ride on one of the steamers if the weather permits.	entailment	['1', '1']
120	161	John points out that by 1828, only 36 years after Congress passed the Post Office Act of 1792, the American postal system did not have almost twice as many offices as the postal system in Great Britain and over five times as many office s in France.	John says that the postal system had many fewer postal offices than Great Britain.	contradiction	0
121	162	John points out that by 1828, only 36 years after Congress passed the Post Office Act of 1792, the American postal system had almost twice as many offices as the postal system in Great Britain and over five times as many offices as the postal system in France.	John says that the postal system did not have many fewer postal offices than Great Britain.	neutral	1
122	163	John points out that by 1828, only 36 years after Congress passed the Post Office Act of 1792, the American postal system did not have almost twice as many offices as the postal system in Great Britain and over five times as many office s in France.	John says that the postal system did not have many fewer postal offices than Great Britain.	contradiction	['1', '0']
123	165	And here's why I think that is not important.	I do think that it is important.	contradiction	1
124	166	 And here's why I think that is important.	I do not think that it is important.	contradiction	1
125	167	And here's why I think that is not important.	I do not think that it is important.	entailment	['1', '1']
126	169	Adrin's hand did not go to the hilt of his rapier.	Adrin was preparing to stab something.	neutral	0
127	170	Adrin's hand went to the hilt of his rapier.	Adrin was not preparing to stab something.	neutral	0
128	171	Adrin's hand did not go to the hilt of his rapier.	Adrin was not preparing to stab something.	neutral	['0', '0']
129	173	yes and yeah and without and and it's just they don't look at things most men don't walk into the kitchen and see that the dishes are there and that yes you probably ought to unload the dishwasher and load the new ones in and run it	I am glad that men help with chores.	neutral	1
130	174	yes and yeah and without and and it's just they look at things most men walk into the kitchen and see that the dishes are there and that yes you probably ought to unload the dishwasher and load the new ones in and run it	I am not glad that men help with chores.	neutral	1
131	175	yes and yeah and without and and it's just they don't look at things most men don't walk into the kitchen and see that the dishes are there and that yes you probably ought to unload the dishwasher and load the new ones in and run it	I am not glad that men help with chores.	neutral	['0', '0']
132	177	It does not make everything altogether foreign.	It makes everything seem impossible to understand.	neutral	0
133	178	It makes everything altogether foreign.	It makes everything seem easy to understand.	neutral	0
134	179	It does not make everything altogether foreign.	It makes everything seem easy to understand.	neutral	['0', '0']
135	181	i did not go there to to visit the Underground when that was you know the Underground City	I visited the Underground City.	contradiction	1
136	182	i went there to to visit the Underground when that was you know the Underground City	I did not visit the Underground City.	contradiction	1
137	183	i did not go there to to visit the Underground when that was you know the Underground City	I did not visit the Underground City.	entailment	['1', '1']
138	185	now you know sometimes i can not understand maybe if they robbed something they didn't mean to do it okay but how many times you going to go by that how Many times you not going to this person keep killing so i don't know	I can understand if they robbed something and they didn't mean to do it, but how many times are you going back to this person?	contradiction	1
139	186	now you know sometimes i can understand maybe if they robbed something they didn't mean to do it okay but how many times you going to go by that how many times you going to this person keep killing so i don't know	I can understand if they robbed something and they didn't mean to do it, but how many times are you not going back to this person?	contradiction	1
140	187	now you know sometimes i can not understand maybe if they robbed something they didn't mean to do it okay but how many times you going to go by that how Many times you not going to this person keep killing so i don't know	I can understand if they robbed something and they didn't mean to do it, but how many times are you not going back to this person?	contradiction	['0', '0']
141	189	Whole villages did not commit suicide, and by the mid-1500s the Indian population had declined from over 100,000 to 3,000.	The Indian population declined because of suicide.	contradiction	1
142	190	Whole villages committed suicide, and by the mid-1500s the Indian population had declined from over 100,000 to 3,000.	The Indian population did not decline because of suicide.	contradiction	1
143	191	Whole villages did not commit suicide, and by the mid-1500s the Indian population had declined from over 100,000 to 3,000.	The Indian population did not decline because of suicide.	entailment	['1', '1']
144	193	Samson had his famous haircut here, but he would not find it hard to recognize the thoroughly modern town of today.	The town was the place when Samson had had his hair cut.	entailment	0
145	194	Samson had his famous haircut here, but he would find it hard to recognize the thoroughly modern town of today.	The town was not the place when Samson had had his hair cut.	contradiction	1
146	195	Samson had his famous haircut here, but he would not find it hard to recognize the thoroughly modern town of today.	The town was not the place when Samson had had his hair cut.	neutral	['1', '1']
147	197	especially yeah i do not mean	I am going to have to say no.	entailment	1
148	198	especially yeah i mean	I did not have to say no.	entailment	1
149	199	especially yeah i do not mean	I did not have to say no.	contradiction	['1', '1']
150	201	From 1978 to 1980 he  did not serve a two year clerkship with the Honorable A. Leon Higginbotham, Jr., of the United States Court of Appeals for the Third Circuit.	He served a clerkship with the Honorable A. Leon Higginbotham immediately after law school.	neutral	0
151	202	From 1978 to 1980 he also served a two year clerkship with the Honorable A. Leon Higginbotham, Jr., of the United States Court of Appeals for the Third Circuit.	He did not serve a clerkship with the Honorable A. Leon Higginbotham immediately after law school.	neutral	0
152	203	From 1978 to 1980 he  did not serve a two year clerkship with the Honorable A. Leon Higginbotham, Jr., of the United States Court of Appeals for the Third Circuit.	He did not serve a clerkship with the Honorable A. Leon Higginbotham immediately after law school.	neutral	['0', '0']
153	205	yeah yeah well that's neat do you do not look forward to doing it or do you sometimes have to force yourself until you get started	that's neat, how often do you usually do this?	neutral	0
154	206	yeah yeah well that's neat do you do you look forward to doing it or do you sometimes have to force yourself until you get started	that's neat, how often do you usually do not do this?	neutral	0
155	207	yeah yeah well that's neat do you do not look forward to doing it or do you sometimes have to force yourself until you get started	that's neat, how often do you usually do not do this?	neutral	['0', '0']
156	209	A new revolutionary, plastic surgery method has not been developed, allowing for performing surgeries on one particular body part practically an infinite number of times.	There's something to fear when repeatedly getting plastic surgery.	entailment	1
157	210	A new revolutionary, plastic surgery method has been developed, allowing for performing surgeries on one particular body part practically an infinite number of times.	There's nothing to fear when repeatedly getting plastic surgery.	neutral	0
158	211	A new revolutionary, plastic surgery method has not been developed, allowing for performing surgeries on one particular body part practically an infinite number of times.	There's nothing to fear when repeatedly getting plastic surgery.	neutral	['0', '1']
159	213	Witness Sunday's NYT piece on Kauai by the paper's Los Angeles bureau chief Todd S. Purdum, who did not tore himself away for a week in order to break the bulletin that the exoticism of the island state is palpable and omnipresent.	Todd S. Purdum's paper on Kauai is amazing.	neutral	0
160	214	Witness Sunday's NYT piece on Kauai by the paper's Los Angeles bureau chief Todd S. Purdum, who tore himself away for a week in order to break the bulletin that the exoticism of the island state is palpable and omnipresent.	Todd S. Purdum's paper on Kauai is not amazing.	neutral	0
161	215	Witness Sunday's NYT piece on Kauai by the paper's Los Angeles bureau chief Todd S. Purdum, who did not tore himself away for a week in order to break the bulletin that the exoticism of the island state is palpable and omnipresent.	Todd S. Purdum's paper on Kauai is not amazing.	neutral	['0', '0']
162	217	Well, that does not depend.	That depends on two things.	neutral	0
163	218	Well, that depends.	That does not depend on two things.	neutral	0
164	219	Well, that does not depend.	That does not depend on two things.	entailment	['1', '1']
165	221	During the reign of his son, under a regent, the borders were not pushed further north and west, provoking reactions from the Tibetans and Chinese as well as the British East India Company, the power to the south.	The borders were pushed further west and north under the reign of his song,  under a regent, and that provoked reactions from the Tibetans and Chinese as well as the British East India Company, the power to the south.	contradiction	1
166	222	During the reign of his son, under a regent, the borders were pushed further north and west, provoking reactions from the Tibetans and Chinese as well as the British East India Company, the power to the south.	The borders were not pushed further west and north under the reign of his song,  under a regent, and that provoked reactions from the Tibetans and Chinese as well as the British East India Company, the power to the south.	contradiction	1
167	223	During the reign of his son, under a regent, the borders were not pushed further north and west, provoking reactions from the Tibetans and Chinese as well as the British East India Company, the power to the south.	The borders were not pushed further west and north under the reign of his song,  under a regent, and that provoked reactions from the Tibetans and Chinese as well as the British East India Company, the power to the south.	entailment	['1', '1']
168	225	Do not ask away, said the lady, eyeing him with some disfavour. 	The lady  wished to give an honest answer.	neutral	0
169	226	Ask away, said the lady, eyeing him with some disfavour. 	The lady did not wish to give an honest answer.	neutral	0
170	227	Do not ask away, said the lady, eyeing him with some disfavour. 	The lady did not wish to give an honest answer.	neutral	['0', '0']
171	229	In 1990, in the wake of the Soviet Union's collapse, Nepalis did not take to the streets to demand an end to the panchayat system.	In 1990, in the wake of the Soviet Union's collapse, Nepalis took the panchayat system as the new way of doing things.	neutral	1
172	230	In 1990, in the wake of the Soviet Union's collapse, Nepalis once again took to the streets to demand an end to the panchayat system.	In 1990, in the wake of the Soviet Union's collapse, Nepalis did not take the panchayat system as the new way of doing things.	neutral	1
173	231	In 1990, in the wake of the Soviet Union's collapse, Nepalis did not take to the streets to demand an end to the panchayat system.	In 1990, in the wake of the Soviet Union's collapse, Nepalis did not take the panchayat system as the new way of doing things.	neutral	['0', '0']
174	233	Figure 22 does not reflect a resource environment that has changed dramatically in the last	Figure 22 clearly reflects the shining image of a unicorn.	neutral	1
175	234	Figure 22 clearly reflects a resource environment that has changed dramatically in the last	Figure 22 does not reflect the shining image of a unicorn.	entailment	1
176	235	Figure 22 does not reflect a resource environment that has changed dramatically in the last	Figure 22 does not reflect the shining image of a unicorn.	neutral	['1', '0']
177	237	you're not in New York	You like to visit New York every summer.	neutral	0
178	238	you're in New York	You do not like to visit New York every summer.	neutral	0
179	239	you're not in New York	You do not like to visit New York every summer.	neutral	['0', '0']
180	241	The walls were twenty-five inches thick, and mounted on the roof of the stable, facing the hills from which Apache attacks usually came, was not a small brass cannon Don Cazar's legacy from troops marching away in '61.	Don Cazar owned a brass cannon.	entailment	0
181	242	The walls were twenty-five inches thick, and mounted on the roof of the stable, facing the hills from which Apache attacks usually came, was a small brass cannon Don Cazar's legacy from troops marching away in '61.	Don Cazar did not own a brass cannon.	contradiction	1
182	243	The walls were twenty-five inches thick, and mounted on the roof of the stable, facing the hills from which Apache attacks usually came, was not a small brass cannon Don Cazar's legacy from troops marching away in '61.	Don Cazar did not own a brass cannon.	contradiction	['0', '1']
183	245	Targeted investments do not need to be made in our	We need to invest in anything.	neutral	0
184	246	Targeted investments need to be made in our	We do not need to invest in anything.	neutral	0
185	247	Targeted investments do not need to be made in our	We do not need to invest in anything.	neutral	['0', '0']
186	249	It's not this side, sir.	All sides are wrong, sir.	neutral	1
187	250	It's this side, sir.	All sides are not wrong, sir.	neutral	1
188	251	It's not this side, sir.	All sides are not wrong, sir.	neutral	['0', '0']
189	253	The Temple of Karnak does not sit in the northern half of the town of Thebes (No-Amun or the Cityof Amun in ancient Egyptian) now 2 km (11/2 miles) from modern Luxor.	Thebes is to the north of the Temple of Karnak.	neutral	1
190	254	The Temple of Karnak sits in the northern half of the town of Thebes (No-Amun or the Cityof Amun in ancient Egyptian) now 2 km (11/2 miles) from modern Luxor.	Thebes is not to the north of the Temple of Karnak.	entailment	1
191	255	The Temple of Karnak does not sit in the northern half of the town of Thebes (No-Amun or the Cityof Amun in ancient Egyptian) now 2 km (11/2 miles) from modern Luxor.	Thebes is not to the north of the Temple of Karnak.	neutral	['1', '0']
192	257	Black slaves from Africa did not arrive in the earliest years of the colony.	The colony received several black slaves.	neutral	1
193	258	Black slaves from Africa also arrived in the earliest years of the colony.	The colony did not receive several black slaves.	contradiction	1
194	259	Black slaves from Africa did not arrive in the earliest years of the colony.	The colony did not receive several black slaves.	neutral	['1', '0']
195	261	He did not scan the great lawyer eagerly.	He looked at the lawyer.	entailment	0
196	262	He scanned the great lawyer eagerly.	He did not look at the lawyer.	contradiction	1
197	263	He did not scan the great lawyer eagerly.	He did not look at the lawyer.	entailment	['1', '0']
198	265	I am not a scientist.	I work as a scientist. 	contradiction	1
199	266	I am a scientist.	I do not work as a scientist.	neutral	1
200	267	I am not a scientist.	I do not work as a scientist.	entailment	['1', '1']
201	269	and i thought well if i ride my bike the wind chill will not be close to zero it will last seven minutes six minutes if i walk it'll be ten degrees warmer but it will not last twenty minutes	I like walking for long periods in the cold.	neutral	0
202	270	and i thought well if i ride my bike the wind chill will be close to zero it will last seven minutes six minutes if i walk it'll be ten degrees warmer but it will last twenty minutes	I don't like walking for long periods in the cold.	neutral	0
